fips,county_name,state_name,category,topic_area,year,variable_name,value
01001,Autauga County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
01001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,5
01001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,5
01001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
01001,Autauga County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
01001,Autauga County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.2
01001,Autauga County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,2.9006918420294032
01003,Baldwin County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
01003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,4
01003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,4
01003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,3
01003,Baldwin County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
01003,Baldwin County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,8
01003,Baldwin County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,5.455537370430988
01003,Baldwin County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,0.10817013751716613
01005,Barbour County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
01005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,4
01005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,5
01005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,1
01005,Barbour County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,3
01005,Barbour County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,5.6
01005,Barbour County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,1.3058963197467353
01005,Barbour County,Alabama,Food Retail,General Intermediated,2017,intermediated_sales_per_capita,3.7198258804907005
01007,Bibb County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
01007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
01007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
01007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and20,0
01007,Bibb County,Alabama,Food Access,Food Insecurity,2019,food_desert_vehicle,1
01007,Bibb County,Alabama,Community Characteristics,Population,2020,rwj_food_environment_index,7.8
01007,Bibb County,Alabama,Food Retail,General DTC,2017,direct_sales_per_capita,0.4411505205576143
01009,Blount County,Alabama,Food Access,Food Insecurity,2018,food_banks,0
01009,Blount County,Alabama,Food Access,Food Insecurity,2019,food_desert_1and10,0
01009,Blount County,Alabama,Food Access,Food Insecurity,2019,food_desert_half_and10,0
