2 pager title,category,topic_area,variable_name,user_friendly_variable_name,variable_definition,periodicity,aggregation_method,source,url,last_update_date,general_comments
Community wealth,Community Characteristics,Food Processors,foodbev_est_CBP,food_and_beverage_estab_per_cap,"Food & beverage manufacturing estab. per 10,000 people ",Yearly,Count,"U.S. Census Bureau, County Business Patterns ",https://www.census.gov/data/datasets/2010/econ/cbp/2010-cbp.html; https://www.census.gov/data/datasets/2010/econ/cbp/2015-cbp.html,,Data collected for 2010 and 2015; NAICS 311 and 3121
Community wealth,Community Characteristics,Food Processors,est_CBP,other_manufacturing_estab_per_cap,"Other manufacturing estab. per 10,000 people",Yearly,Count,"U.S. Census Bureau, County Business Patterns ",https://www.census.gov/data/datasets/2010/econ/cbp/2010-cbp.html; https://www.census.gov/data/datasets/2010/econ/cbp/2015-cbp.html,,Data collected for 2010 and 2015; NAICS 31 (which includes 32 and 33) less 311 and 3121
Community wealth,Community Characteristics,Infrastructure,pc1b_manufacturing,pc_built_capital_manufacturing,Built capital - manufacturing,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis built capital data including foodbev_est_CBP, est_CBP, broad, broad_11, highway_km, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Infrastructure,pc2b_infrastructure,pc_built_capital_highway_broadband,Built capital - highway and broadband infrastructure,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis built capital data including foodbev_est_CBP, est_CBP, broad, broad_11, highway_km, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Infrastructure,broad_16,percent_pop_with_broadband,"Percent of population with access to fixed advanced telecomm., 2016 ",Yearly,Percent,FCC (2016),https://www.fcc.gov/reports-research/maps/connect2health/background.html ,,broad_16 and broad_11 measure the same thing but are dervied from different sources due to differences in data availability
Community wealth,Community Characteristics,Infrastructure,broad_11,percent_pop_with_broadband,"Percent of population with access to fixed terrestrial broadband at ≥ 25 mbps download/3 mbps upload, 2011",Yearly,Percent,Derived from NTIA State Broadband Initiative (2011) data ,https://www2.ntia.doc.gov/Jun-2011-datasets ,,
Community wealth,Community Characteristics,Infrastructure,highway_km,nearest_interstate_highway_ramp,"Inverse of population-weighted distance (km) to nearest interstate highway ramp, 2007 ",Yearly,Mean,Dicken et al. (2011) ,,,"Dicken, C., Williams, W., Breneman, V., 2011. County-level highway access measures. U. S. Department of Agriculture, Economic Research Service. "
Community wealth,Community Characteristics,Population,create_jobs,percent_workforce_in_arts,"Percent  of workforce employed in the arts, 2013 ",Yearly,Percent,"USDA Economic Research Service, Creative Class Codes",https://www.ers.usda.gov/data-products/creative-class-county-codes.aspx ,,
Community wealth,Community Characteristics,Population,racial_div,racial_diversity_index,"Author constructed racial diversity index from 0 (no diversity) to 10 (complete diversity), 2010",Yearly,Index,"U.S. Census Bureau, Modified Race Data (2010)",https://www.census.gov/data/datasets/2010/demo/popest/modified-race-data-2010.html,,"A Herfindahl-Hirschman Index (HHI) is computed based on the percentage of the population in each racial category, where a larger HHI represents less diversity. For ease of exposition, we subtract the HHI from 10,000 (no diversity) and standardize the result on a scale from 0 (no diversity) to 10 (complete diversity). Calculations can be found in R Markdown file. "
Community wealth,Community Characteristics,Community Resources,pub_lib,public_libraries_per_10K,"Public libraries per 100,000 people, 2012",Yearly,Count,"Kushner & Cohen, Local Arts Index (2018)",https://www.icpsr.umich.edu/web/NADAC/studies/36984/variables,,"SLIBRARIES2012 is Public libraries per 100,000 population, 2012"
Community wealth,Community Characteristics,Community Resources,create_indus,creative_industry_businesses_per_100K,"Creative industry businesses per 100,000 population, 2014",Yearly,Count,"Kushner & Cohen, Local Arts Index (2018)",https://www.icpsr.umich.edu/web/NADAC/studies/36984/variables,,"SCIBSPC is Creative Industries' businesses per 100,000 population"
Community wealth,Community Characteristics,Community Resources,museums,museums_per_100K,"Museums per 100,000 people, 2015",Yearly,Count,"Kushner & Cohen, Local Arts Index (2018)",https://www.icpsr.umich.edu/web/NADAC/studies/36984/variables,,"SMUSEUMS2015 is Public libraries per 100,000 population, 2015"
Community wealth,Community Characteristics,Community Resources,pc1c_artsdiversity,pc_cultural_capital_arts_diversity,Cultural capital - Arts and diversity,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis of cultural capital variables including create_jobs, racial_div, pub_lib, create_indus_09, create_indus_14, museums, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Community Resources,pc2c_creativeindustries,pc_cultural_capital_createive_industries,Cultural capital - Creative industries,NA,Unitless,Derived in Schmitt et al. (2021),https://github.com/schmi-ny/County-Level-Community-Capital-Stocks ,,"Derived from a principal component analysis of cultural capital variables including create_jobs, racial_div, pub_lib, create_indus_09, create_indus_14, museums, if multiple years, derived from most recent data"
Community wealth,Community Characteristics,Financial,localgovfin,cash_and_securities_less_debt_per_capita,Cash & security holdings less government debt per capita,Yearly,Count,"U.S. Census Bureau, Annual survey of state and local government finance. Historical data (formerly Special 60). File: “_IndFin_1967-2012”",https://www.census.gov/programs-surveys/gov-finances/data/historical-data.html,,
