2 pager title,category,topic_area,variable_name,user_friendly_variable_name,variable_definition,periodicity,aggregation_method,source,url,last_update_date,general_comments
Labor,Labor,Wages,total_annual_wages_NAICS 111 Crop production,"Wages, total annual, NAICS 111 Crop production",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 112 Animal production and aquaculture,"Wages, total annual, NAICS 112 Animal production and aquaculture",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,"total_annual_wages_NAICS 114 Fishing, hunting and trapping","Wages, total annual, NAICS 114 Fishing, hunting and trapping",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 115 Agriculture and forestry support activities,"Wages, total annual, NAICS 115 Agriculture and forestry support activities",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 311 Food manufacturing,"Wages, total annual, NAICS 311 Food manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3111 Animal food manufacturing,"Wages, total annual, NAICS 3111 Animal food manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3112 Grain and oilseed milling,"Wages, total annual, NAICS 3112 Grain and oilseed milling",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3113 Sugar and confectionery product manufacturing,"Wages, total annual, NAICS 3113 Sugar and confectionery product manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3114 Fruit and vegetable preserving and specialty,"Wages, total annual, NAICS 3114 Fruit and vegetable preserving and specialty",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3115 Dairy product manufacturing,"Wages, total annual, NAICS 3115 Dairy product manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3116 Animal slaughtering and processing,"Wages, total annual, NAICS 3116 Animal slaughtering and processing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3117 Seafood product preparation and packaging,"Wages, total annual, NAICS 3117 Seafood product preparation and packaging",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3118 Bakeries and tortilla manufacturing,"Wages, total annual, NAICS 3118 Bakeries and tortilla manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 311811 Retail bakeries,"Wages, total annual, NAICS 311811 Retail bakeries",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3119 Other food manufacturing,"Wages, total annual, NAICS 3119 Other food manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3121 Beverage manufacturing,"Wages, total annual, NAICS 3121 Beverage manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 3122 Tobacco manufacturing,"Wages, total annual, NAICS 3122 Tobacco manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 32532 Pesticide and other ag. chemical mfg.,"Wages, total annual, NAICS 32532 Pesticide and other ag. chemical mfg.",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 33311 Agricultural implement manufacturing,"Wages, total annual, NAICS 33311 Agricultural implement manufacturing",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 4244 Grocery and related product wholesalers,"Wages, total annual, NAICS 4244 Grocery and related product wholesalers",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 4245 Farm product raw material merch. whls.,"Wages, total annual, NAICS 4245 Farm product raw material merch. whls.",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 4248 Alcoholic beverage merchant wholesalers,"Wages, total annual, NAICS 4248 Alcoholic beverage merchant wholesalers",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 42491 Farm supplies merchant wholesalers,"Wages, total annual, NAICS 42491 Farm supplies merchant wholesalers",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
Labor,Labor,Wages,total_annual_wages_NAICS 445 Food and beverage stores,"Wages, total annual, NAICS 445 Food and beverage stores",Sum of the four quarterly total wage levels for a given year,yearly ,"county, state, US","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages",https://www.bls.gov/cew/downloadable-data-files.htm,,"Annual averages by Industry, privately held businesses, all establishment sizes, data with disclosure removed"
