State,County,Fips,Year,FIRate ,NumberFIIndividuals ,ChildFIRate,NumberFIChildren,CostPerMeal 
AL,"Autauga County, Alabama",1001,2021,13.30%,"7,770",14.50%,"2,000",$3.60 
AL,"Baldwin County, Alabama",1003,2021,11.80%,"26,830",9.70%,"4,760",$4.07 
AL,"Barbour County, Alabama",1005,2021,17.80%,"4,500",29.80%,"1,570",$3.46 
AL,"Bibb County, Alabama",1007,2021,14.90%,"3,350",17.90%,830,$3.29 
AL,"Blount County, Alabama",1009,2021,13.70%,"8,040",10.30%,"1,400",$3.24 
AL,"Bullock County, Alabama",1011,2021,15.60%,"1,620",29.90%,690,$3.86 
AL,"Butler County, Alabama",1013,2021,13.80%,"2,640",23.40%,"1,020",$3.29 
AL,"Calhoun County, Alabama",1015,2021,15.60%,"18,210",18.70%,"4,760",$3.62 
AL,"Chambers County, Alabama",1017,2021,13.30%,"4,630",21.80%,"1,580",$3.28 
AL,"Cherokee County, Alabama",1019,2021,14.70%,"3,660",13.20%,640,$3.33 
AL,"Chilton County, Alabama",1021,2021,15.40%,"6,890",13.70%,"1,480",$3.50 
AL,"Choctaw County, Alabama",1023,2021,15.70%,"2,010",24.60%,640,$3.36 
AL,"Clarke County, Alabama",1025,2021,16.30%,"3,810",24.10%,"1,250",$3.30 
AL,"Clay County, Alabama",1027,2021,15.00%,"2,130",15.30%,460,$3.19 
AL,"Cleburne County, Alabama",1029,2021,15.50%,"2,330",14.40%,500,$3.65 
AL,"Coffee County, Alabama",1031,2021,14.60%,"7,770",17.10%,"2,170",$3.87 
AL,"Colbert County, Alabama",1033,2021,14.90%,"8,480",16.70%,"2,010",$3.79 
AL,"Conecuh County, Alabama",1035,2021,12.70%,"1,490",24.20%,590,$3.34 
AL,"Coosa County, Alabama",1037,2021,12.70%,"1,320",19.70%,330,$3.56 
AL,"Covington County, Alabama",1039,2021,15.90%,"5,960",16.70%,"1,390",$3.32 
AL,"Crenshaw County, Alabama",1041,2021,13.30%,"1,770",15.90%,480,$3.90 
AL,"Cullman County, Alabama",1043,2021,14.40%,"12,570",11.20%,"2,210",$3.69 
AL,"Dale County, Alabama",1045,2021,16.10%,"7,970",21.00%,"2,400",$3.52 
AL,"Dallas County, Alabama",1047,2021,16.10%,"6,320",32.00%,"3,020",$3.49 
AL,"DeKalb County, Alabama",1049,2021,16.10%,"11,500",14.50%,"2,520",$3.25 
AL,"Elmore County, Alabama",1051,2021,11.60%,"10,140",12.80%,"2,480",$3.78 
AL,"Escambia County, Alabama",1053,2021,17.10%,"6,310",23.40%,"1,960",$3.33 
AL,"Etowah County, Alabama",1055,2021,15.00%,"15,490",17.40%,"3,900",$3.63 
AL,"Fayette County, Alabama",1057,2021,17.30%,"2,840",20.20%,710,$3.24 
AL,"Franklin County, Alabama",1059,2021,14.60%,"4,660",14.40%,"1,170",$3.08 
AL,"Geneva County, Alabama",1061,2021,19.00%,"5,050",20.40%,"1,200",$3.47 
AL,"Greene County, Alabama",1063,2021,21.20%,"1,670",37.80%,650,$4.02 
AL,"Hale County, Alabama",1065,2021,16.40%,"2,440",29.10%,"1,010",$4.02 
AL,"Henry County, Alabama",1067,2021,12.70%,"2,170",16.70%,600,$3.85 
AL,"Houston County, Alabama",1069,2021,14.70%,"15,600",19.30%,"4,750",$3.81 
AL,"Jackson County, Alabama",1071,2021,16.60%,"8,730",16.20%,"1,800",$3.27 
AL,"Jefferson County, Alabama",1073,2021,12.70%,"85,570",19.00%,"29,390",$4.00 
AL,"Lamar County, Alabama",1075,2021,16.80%,"2,350",15.00%,450,$3.24 
AL,"Lauderdale County, Alabama",1077,2021,13.70%,"12,740",13.30%,"2,460",$3.63 
AL,"Lawrence County, Alabama",1079,2021,15.00%,"4,970",15.70%,"1,140",$3.24 
AL,"Lee County, Alabama",1081,2021,13.40%,"23,020",13.80%,"5,040",$4.07 
AL,"Limestone County, Alabama",1083,2021,11.90%,"12,080",10.20%,"2,330",$3.96 
AL,"Lowndes County, Alabama",1085,2021,16.20%,"1,680",34.50%,800,$3.88 
AL,"Macon County, Alabama",1087,2021,12.90%,"2,510",31.20%,"1,050",$4.01 
AL,"Madison County, Alabama",1089,2021,11.20%,"42,710",12.20%,"10,240",$3.80 
AL,"Marengo County, Alabama",1091,2021,15.40%,"2,990",25.10%,"1,100",$3.51 
AL,"Marion County, Alabama",1093,2021,17.70%,"5,220",17.50%,"1,080",$3.24 
AL,"Marshall County, Alabama",1095,2021,14.60%,"14,200",13.60%,"3,350",$3.42 
AL,"Mobile County, Alabama",1097,2021,14.00%,"57,880",20.20%,"19,780",$3.70 
AL,"Monroe County, Alabama",1099,2021,16.00%,"3,210",22.90%,990,$3.35 
AL,"Montgomery County, Alabama",1101,2021,14.10%,"32,260",25.90%,"14,070",$3.83 
AL,"Morgan County, Alabama",1103,2021,13.80%,"16,910",14.50%,"4,110",$3.70 
AL,"Perry County, Alabama",1105,2021,20.00%,"1,740",39.80%,730,$3.54 
AL,"Pickens County, Alabama",1107,2021,16.70%,"3,220",27.60%,"1,020",$3.63 
AL,"Pike County, Alabama",1109,2021,14.00%,"4,660",20.00%,"1,280",$3.86 
AL,"Randolph County, Alabama",1111,2021,14.50%,"3,190",16.40%,770,$3.21 
AL,"Russell County, Alabama",1113,2021,15.70%,"9,190",23.80%,"3,360",$3.53 
AL,"St. Clair County, Alabama",1115,2021,13.00%,"11,720",11.10%,"2,270",$3.75 
AL,"Shelby County, Alabama",1117,2021,9.50%,"20,930",6.60%,"3,400",$4.09 
AL,"Sumter County, Alabama",1119,2021,17.00%,"2,120",34.60%,840,$3.52 
AL,"Talladega County, Alabama",1121,2021,15.60%,"12,770",21.80%,"3,760",$3.38 
AL,"Tallapoosa County, Alabama",1123,2021,14.80%,"6,130",21.20%,"1,820",$3.56 
AL,"Tuscaloosa County, Alabama",1125,2021,12.40%,"27,830",16.00%,"7,590",$4.09 
AL,"Walker County, Alabama",1127,2021,17.40%,"11,340",17.20%,"2,520",$3.40 
AL,"Washington County, Alabama",1129,2021,13.60%,"2,110",16.40%,530,$3.30 
AL,"Wilcox County, Alabama",1131,2021,18.20%,"1,940",36.10%,910,$3.41 
AL,"Winston County, Alabama",1133,2021,17.50%,"4,130",17.80%,860,$3.16 
AK,"Aleutians East Borough, Alaska",2013,2021,9.30%,320,12.60%,60,$4.78 
AK,"Aleutians West Census Area, Alaska",2016,2021,10.00%,530,9.70%,60,$4.78 
AK,"Anchorage Municipality, Alaska",2020,2021,9.10%,"26,740",11.40%,"8,080",$4.59 
AK,"Bethel Census Area, Alaska",2050,2021,20.50%,"3,800",24.50%,"1,600",$5.06 
AK,"Bristol Bay Borough, Alaska",2060,2021,9.30%,80,11.10%,20,$4.78 
AK,"Chugach Census Area, Alaska",2063,2021,8.40%,590,11.00%,180,$4.59 
AK,"Copper River Census Area, Alaska",2066,2021,12.40%,330,13.20%,80,$4.66 
AK,"Denali Borough, Alaska",2068,2021,13.90%,300,10.00%,20,$4.47 
AK,"Dillingham Census Area, Alaska",2070,2021,14.00%,690,17.10%,260,$5.06 
AK,"Fairbanks North Star Borough, Alaska",2090,2021,8.60%,"8,370",10.50%,"2,460",$4.47 
AK,"Haines Borough, Alaska",2100,2021,14.10%,300,15.30%,100,$4.64 
AK,"Hoonah-Angoon Census Area, Alaska",2105,2021,11.60%,270,17.60%,50,$4.69 
AK,"Juneau City and Borough, Alaska",2110,2021,8.60%,"2,760",9.10%,610,$4.62 
AK,"Kenai Peninsula Borough, Alaska",2122,2021,11.50%,"6,760",14.40%,"1,900",$4.92 
AK,"Ketchikan Gateway Borough, Alaska",2130,2021,11.30%,"1,570",13.80%,420,$4.51 
AK,"Kodiak Island Borough, Alaska",2150,2021,9.70%,"1,280",11.10%,360,$4.78 
AK,"Kusilvak Census Area, Alaska",2158,2021,25.90%,"2,170",31.50%,"1,080",$4.78 
AK,"Lake and Peninsula Borough, Alaska",2164,2021,14.30%,140,21.00%,50,$4.78 
AK,"Matanuska-Susitna Borough, Alaska",2170,2021,10.20%,"10,850",11.90%,"3,410",$4.66 
AK,"Nome Census Area, Alaska",2180,2021,16.00%,"1,610",18.10%,630,$4.70 
AK,"North Slope Borough, Alaska",2185,2021,11.00%,"1,190",12.90%,390,$4.47 
AK,"Northwest Arctic Borough, Alaska",2188,2021,16.60%,"1,290",19.90%,550,$4.47 
AK,"Petersburg Borough, Alaska",2195,2021,10.70%,360,14.30%,90,$4.66 
AK,"Prince of Wales-Hyder Census Area, Alaska",2198,2021,15.30%,900,20.10%,260,$4.40 
AK,"Sitka City and Borough, Alaska",2220,2021,8.80%,750,10.10%,180,$4.66 
AK,"Skagway Municipality, Alaska",2230,2021,13.00%,170,18.00%,30,$4.62 
AK,"Southeast Fairbanks Census Area, Alaska",2240,2021,12.10%,830,15.70%,300,$4.47 
AK,"Wrangell City and Borough, Alaska",2275,2021,12.90%,280,19.80%,100,$4.71 
AK,"Yakutat City and Borough, Alaska",2282,2021,10.40%,60,12.90%,20,$4.62 
AK,"Yukon-Koyukuk Census Area, Alaska",2290,2021,18.10%,980,24.10%,370,$4.47 
AZ,"Apache County, Arizona",4001,2021,19.60%,"13,010",24.50%,"4,400",$3.65 
AZ,"Cochise County, Arizona",4003,2021,11.10%,"13,820",16.20%,"4,350",$3.39 
AZ,"Coconino County, Arizona",4005,2021,12.60%,"18,240",14.40%,"4,250",$3.96 
AZ,"Gila County, Arizona",4007,2021,14.00%,"7,430",19.90%,"2,110",$3.55 
AZ,"Graham County, Arizona",4009,2021,12.30%,"4,680",15.10%,"1,540",$3.48 
AZ,"Greenlee County, Arizona",4011,2021,9.60%,910,13.70%,360,$3.48 
AZ,"La Paz County, Arizona",4012,2021,15.00%,"2,520",21.10%,590,$3.58 
AZ,"Maricopa County, Arizona",4013,2021,9.20%,"400,830",12.50%,"129,680",$3.59 
AZ,"Mohave County, Arizona",4015,2021,13.60%,"28,830",19.90%,"7,140",$3.58 
AZ,"Navajo County, Arizona",4017,2021,16.70%,"17,820",21.70%,"6,140",$3.53 
AZ,"Pima County, Arizona",4019,2021,10.90%,"112,480",14.70%,"31,790",$3.58 
AZ,"Pinal County, Arizona",4021,2021,9.10%,"38,480",13.20%,"12,570",$3.43 
AZ,"Santa Cruz County, Arizona",4023,2021,13.20%,"6,280",18.40%,"2,370",$3.00 
AZ,"Yavapai County, Arizona",4025,2021,10.80%,"25,310",14.60%,"5,520",$3.81 
AZ,"Yuma County, Arizona",4027,2021,14.60%,"29,710",21.20%,"10,930",$3.21 
AR,"Arkansas County, Arkansas",5001,2021,14.40%,"2,500",18.40%,740,$3.33 
AR,"Ashley County, Arkansas",5003,2021,17.50%,"3,380",25.20%,"1,120",$3.22 
AR,"Baxter County, Arkansas",5005,2021,16.20%,"6,730",18.00%,"1,330",$3.57 
AR,"Benton County, Arkansas",5007,2021,10.70%,"29,770",9.00%,"6,570",$3.60 
AR,"Boone County, Arkansas",5009,2021,15.00%,"5,610",13.90%,"1,200",$3.40 
AR,"Bradley County, Arkansas",5011,2021,14.20%,"1,500",20.00%,520,$3.35 
AR,"Calhoun County, Arkansas",5013,2021,12.10%,580,17.80%,160,$3.30 
AR,"Carroll County, Arkansas",5015,2021,13.40%,"3,780",12.30%,760,$3.36 
AR,"Chicot County, Arkansas",5017,2021,19.90%,"2,070",36.40%,840,$3.36 
AR,"Clark County, Arkansas",5019,2021,16.20%,"3,500",22.40%,930,$3.39 
AR,"Clay County, Arkansas",5021,2021,17.50%,"2,570",19.80%,630,$3.02 
AR,"Cleburne County, Arkansas",5023,2021,16.10%,"4,010",18.40%,880,$3.46 
AR,"Cleveland County, Arkansas",5025,2021,13.40%,"1,020",16.00%,250,$3.40 
AR,"Columbia County, Arkansas",5027,2021,16.40%,"3,770",24.80%,"1,200",$3.37 
AR,"Conway County, Arkansas",5029,2021,17.70%,"3,670",22.30%,"1,060",$3.19 
AR,"Craighead County, Arkansas",5031,2021,15.40%,"16,900",19.00%,"5,250",$3.39 
AR,"Crawford County, Arkansas",5033,2021,15.90%,"9,630",18.30%,"2,720",$3.28 
AR,"Crittenden County, Arkansas",5035,2021,14.20%,"6,870",26.80%,"3,530",$3.30 
AR,"Cross County, Arkansas",5037,2021,15.90%,"2,690",19.80%,790,$3.11 
AR,"Dallas County, Arkansas",5039,2021,13.50%,900,21.90%,310,$3.29 
AR,"Desha County, Arkansas",5041,2021,17.10%,"1,980",30.30%,900,$3.35 
AR,"Drew County, Arkansas",5043,2021,14.10%,"2,470",21.40%,820,$3.37 
AR,"Faulkner County, Arkansas",5045,2021,13.60%,"16,810",13.70%,"3,910",$3.46 
AR,"Franklin County, Arkansas",5047,2021,19.10%,"3,280",20.60%,820,$3.13 
AR,"Fulton County, Arkansas",5049,2021,17.20%,"2,080",17.40%,440,$3.25 
AR,"Garland County, Arkansas",5051,2021,16.50%,"16,460",20.40%,"4,110",$3.49 
AR,"Grant County, Arkansas",5053,2021,14.50%,"2,600",13.60%,550,$3.56 
AR,"Greene County, Arkansas",5055,2021,16.70%,"7,620",18.40%,"2,060",$3.17 
AR,"Hempstead County, Arkansas",5057,2021,15.90%,"3,230",25.10%,"1,300",$3.20 
AR,"Hot Spring County, Arkansas",5059,2021,16.70%,"5,530",20.70%,"1,490",$3.24 
AR,"Howard County, Arkansas",5061,2021,14.80%,"1,910",21.60%,730,$3.19 
AR,"Independence County, Arkansas",5063,2021,16.50%,"6,240",16.60%,"1,490",$3.24 
AR,"Izard County, Arkansas",5065,2021,17.80%,"2,430",20.40%,510,$3.54 
AR,"Jackson County, Arkansas",5067,2021,18.20%,"3,070",22.10%,750,$3.26 
AR,"Jefferson County, Arkansas",5069,2021,14.20%,"9,660",29.00%,"4,350",$3.33 
AR,"Johnson County, Arkansas",5071,2021,17.00%,"4,400",18.20%,"1,160",$3.21 
AR,"Lafayette County, Arkansas",5073,2021,16.60%,"1,060",26.60%,330,$3.40 
AR,"Lawrence County, Arkansas",5075,2021,16.80%,"2,730",18.30%,670,$3.44 
AR,"Lee County, Arkansas",5077,2021,17.90%,"1,580",34.40%,570,$3.05 
AR,"Lincoln County, Arkansas",5079,2021,12.80%,"1,680",18.50%,400,$3.36 
AR,"Little River County, Arkansas",5081,2021,12.70%,"1,530",17.50%,480,$3.42 
AR,"Logan County, Arkansas",5083,2021,17.00%,"3,620",18.60%,870,$3.13 
AR,"Lonoke County, Arkansas",5085,2021,13.00%,"9,590",13.30%,"2,520",$3.41 
AR,"Madison County, Arkansas",5087,2021,15.30%,"2,520",16.90%,650,$3.41 
AR,"Marion County, Arkansas",5089,2021,18.10%,"3,030",21.00%,650,$3.58 
AR,"Miller County, Arkansas",5091,2021,15.60%,"6,700",22.10%,"2,260",$3.50 
AR,"Mississippi County, Arkansas",5093,2021,17.70%,"7,260",27.20%,"2,930",$3.15 
AR,"Monroe County, Arkansas",5095,2021,17.10%,"1,180",30.80%,460,$3.02 
AR,"Montgomery County, Arkansas",5097,2021,18.80%,"1,600",21.30%,330,$3.54 
AR,"Nevada County, Arkansas",5099,2021,17.60%,"1,470",31.20%,590,$3.17 
AR,"Newton County, Arkansas",5101,2021,13.50%,990,13.60%,200,$3.40 
AR,"Ouachita County, Arkansas",5103,2021,16.00%,"3,650",28.90%,"1,500",$3.30 
AR,"Perry County, Arkansas",5105,2021,16.00%,"1,610",16.30%,380,$3.23 
AR,"Phillips County, Arkansas",5107,2021,20.90%,"3,540",39.10%,"1,750",$3.29 
AR,"Pike County, Arkansas",5109,2021,17.20%,"1,760",17.20%,380,$3.40 
AR,"Poinsett County, Arkansas",5111,2021,18.30%,"4,250",21.50%,"1,200",$3.04 
AR,"Polk County, Arkansas",5113,2021,17.80%,"3,460",20.30%,910,$3.31 
AR,"Pope County, Arkansas",5115,2021,15.40%,"9,760",16.70%,"2,410",$3.28 
AR,"Prairie County, Arkansas",5117,2021,13.70%,"1,140",15.40%,270,$3.43 
AR,"Pulaski County, Arkansas",5119,2021,13.40%,"53,400",21.90%,"20,340",$3.61 
AR,"Randolph County, Arkansas",5121,2021,17.50%,"3,220",20.10%,890,$3.16 
AR,"St. Francis County, Arkansas",5123,2021,18.50%,"4,360",33.20%,"1,670",$3.11 
