Geographic Area Name,Estimate!!Total!!Households,Estimate!!Households receiving food stamps/SNAP!!Households,Estimate!!Households not receiving food stamps/SNAP!!Households
"Baldwin County, Alabama",94105,6955,87150
"Calhoun County, Alabama",44631,7733,36898
"Cullman County, Alabama",35131,3527,31604
"DeKalb County, Alabama",24979,3932,21047
"Elmore County, Alabama",32108,3783,28325
"Etowah County, Alabama",38006,4622,33384
"Houston County, Alabama",44058,7092,36966
"Jefferson County, Alabama",270147,40016,230131
"Lauderdale County, Alabama",38250,3756,34494
"Lee County, Alabama",67358,6973,60385
"Limestone County, Alabama",40685,2811,37874
"Madison County, Alabama",164493,11586,152907
"Marshall County, Alabama",36003,5324,30679
"Mobile County, Alabama",162963,31695,131268
"Montgomery County, Alabama",92407,19079,73328
"Morgan County, Alabama",47558,6627,40931
"St. Clair County, Alabama",33093,4743,28350
"Shelby County, Alabama",86970,3819,83151
"Talladega County, Alabama",33775,5659,28116
"Tuscaloosa County, Alabama",86694,9812,76882
"Anchorage Municipality, Alaska",109584,9860,99724
"Fairbanks North Star Borough, Alaska",36426,2196,34230
"Matanuska-Susitna Borough, Alaska",40997,3247,37750
"Apache County, Arizona",19875,5758,14117
"Cochise County, Arizona",49952,8397,41555
"Coconino County, Arizona",55145,6486,48659
"Maricopa County, Arizona",1708034,158164,1549870
"Mohave County, Arizona",102398,13283,89115
"Navajo County, Arizona",40087,8769,31318
"Pima County, Arizona",433148,55680,377468
"Pinal County, Arizona",155161,19507,135654
"Yavapai County, Arizona",112075,10317,101758
"Yuma County, Arizona",74981,16686,58295
"Benton County, Arkansas",106553,4804,101749
"Craighead County, Arkansas",42186,5735,36451
"Faulkner County, Arkansas",48497,3936,44561
"Garland County, Arkansas",42077,4636,37441
"Jefferson County, Arkansas",24319,3284,21035
"Lonoke County, Arkansas",27880,2613,25267
"Pulaski County, Arkansas",172100,19133,152967
"Saline County, Arkansas",49768,2297,47471
"Sebastian County, Arkansas",51472,7896,43576
"Washington County, Arkansas",94220,4491,89729
"White County, Arkansas",29359,3343,26016
"Alameda County, California",589180,58508,530672
"Butte County, California",81353,10370,70983
"Contra Costa County, California",411560,38924,372636
"El Dorado County, California",74909,4581,70328
"Fresno County, California",322646,66949,255697
"Humboldt County, California",55184,9951,45233
"Imperial County, California",47849,12401,35448
"Kern County, California",282963,52339,230624
"Kings County, California",43143,7826,35317
