GeoFips,GeoName,2021
1001,"Autauga, AL",59095
1003,"Baldwin, AL",239294
1005,"Barbour, AL",24964
1007,"Bibb, AL",22477
1009,"Blount, AL",59041
1011,"Bullock, AL",10320
1013,"Butler, AL",18884
1015,"Calhoun, AL",115972
1017,"Chambers, AL",34541
1019,"Cherokee, AL",24996
1021,"Chilton, AL",45274
1023,"Choctaw, AL",12533
1025,"Clarke, AL",22760
1027,"Clay, AL",14190
1029,"Cleburne, AL",15103
1031,"Coffee, AL",54174
1033,"Colbert, AL",57474
1035,"Conecuh, AL",11328
1037,"Coosa, AL",10450
1039,"Covington, AL",37524
1041,"Crenshaw, AL",13083
1043,"Cullman, AL",89496
1045,"Dale, AL",49342
1047,"Dallas, AL",37619
1049,"DeKalb, AL",71813
1051,"Elmore, AL",89304
1053,"Escambia, AL",36699
1055,"Etowah, AL",103162
1057,"Fayette, AL",16148
1059,"Franklin, AL",32013
1061,"Geneva, AL",26701
1063,"Greene, AL",7629
1065,"Hale, AL",14754
1067,"Henry, AL",17459
1069,"Houston, AL",107458
1071,"Jackson, AL",52773
1073,"Jefferson, AL",667820
1075,"Lamar, AL",13689
1077,"Lauderdale, AL",94043
1079,"Lawrence, AL",33090
1081,"Lee, AL",177218
1083,"Limestone, AL",107517
1085,"Lowndes, AL",9965
1087,"Macon, AL",18895
1089,"Madison, AL",395211
1091,"Marengo, AL",18996
1093,"Marion, AL",29246
1095,"Marshall, AL",98228
1097,"Mobile, AL",413073
1099,"Monroe, AL",19648
1101,"Montgomery, AL",227434
1103,"Morgan, AL",123668
1105,"Perry, AL",8355
1107,"Pickens, AL",18801
1109,"Pike, AL",32991
1111,"Randolph, AL",21989
1113,"Russell, AL",58722
1115,"St. Clair, AL",92748
1117,"Shelby, AL",226902
1119,"Sumter, AL",12164
1121,"Talladega, AL",81524
1123,"Tallapoosa, AL",41023
1125,"Tuscaloosa, AL",227007
1127,"Walker, AL",64818
1129,"Washington, AL",15147
1131,"Wilcox, AL",10446
1133,"Winston, AL",23652
2010,"Aleutian Islands Census Area, AK*",(NA)
2013,"Aleutians East Borough, AK*",3398
2016,"Aleutians West Census Area, AK*",5059
2020,"Anchorage Municipality, AK",288121
2050,"Bethel Census Area, AK*",18557
2060,"Bristol Bay Borough, AK",838
2063,"Chugach Census Area, AK*",6941
2066,"Copper River Census Area, AK*",2630
2068,"Denali Borough, AK*",1593
2070,"Dillingham Census Area, AK*",4772
2090,"Fairbanks North Star Borough, AK",95593
2100,"Haines Borough, AK*",2071
2105,"Hoonah-Angoon Census Area, AK*",2332
2110,"Juneau City and Borough, AK",31973
2122,"Kenai Peninsula Borough, AK*",59767
2130,"Ketchikan Gateway Borough, AK*",13754
2150,"Kodiak Island Borough, AK",12787
