2 pager title,category,topic_area,variable_name,user_friendly_variable_name,variable_definition,periodicity,aggregation_method,format,source,url,last_update_date,general_comments,Libby notes
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,snap_par_all_eligible_people,"SNAP participation rates, all eligible people",Percent of eligible people participating in SNAP,Yearly,Percent,percent,USDA Food and Nutrition Service,https://www.fns.usda.gov/usamap,9/23/22,two years available but only have access to one,Corrected spelling in definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,snap_par_elderly_people,"SNAP participation rates, elderly people",Percent of elderly people participating in SNAP,Yearly,Percent,percent,USDA Food and Nutrition Service,https://www.fns.usda.gov/usamap,9/23/22,two years available but only have access to one,
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,snap_par_working_poor_people,"SNAP participation rates, working poor people",Percent of working poor people participating in SNAP,Yearly,Percent,percent,USDA Food and Nutrition Service,https://www.fns.usda.gov/usamap,9/23/22,two years available but only have access to one,
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_white_alone,"SNAP participation rate, White alone ",Percent of eligible white only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2201,9/23/22,,
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_black_alone,"SNAP participation rate, Black or African American alone ",Percent of eligible black only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2201,9/23/22,,Corrected spelling in definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_indian_alone,"SNAP participation rate, American Indian and Alaska Native alone",Percent of eligible Native American and Native Alaskan only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2201,9/23/22,,Corrected spelling in definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_asian_alone,"SNAP participation rate, Asian alone",Percent of eligible Asian only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2202,9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_native_hawaiian_alone,"SNAP participation rate, Native Hawaiian and Other Pacific Islander alone",Percent of eligible Native Hawaiian and Other Pacific Islander only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2201,9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_other_race_alone,"SNAP participation rate, other race",Percent of eligible other race only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2201,9/23/22,,Corrected spelling in definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_two_or_more_races,"SNAP participation rate, two or more race ",Percent of eligible two or more races only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2201,9/23/22,,Corrected spelling in definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_hispanic_any_race,"SNAP participation rate, Hispanic of any race",Percent of eligible Hispanic only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2201,9/23/22,,Corrected spelling in definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,SNAP_percent_white_alone_not_hispanic,"SNAP participation rate, White alone not Hispanic",Percent of eligible White not Hispanic only households participating in SNAP,Yearly,Percent,percent,U.S. Census Bureau American Community Survey,https://data.census.gov/cedsci/table?q=food%20assistance&tid=ACSST5Y2020.S2202,9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,wic_participation_rate,WIC participation rate,Percent of population participating in WIC,Yearly ,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,
Nutrition Security and Food Access,Food Access,Federal Nutrition Program,wic_eligibility_rate,WIC eligibility rate,Percent of population eligible for WIC,Yearly ,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,Changed definition
Nutrition Security and Food Access,Food Access,Food Store,laccess_pop,"Low access to store, population","Low access to store, population",Yearly,Count,integer,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,
Nutrition Security and Food Access,Food Access,Food Store,pct_laccess_pop,"Low access to store (%), population","Low access to store (%), population",Yearly,Percent,percent,"USDA Food and Nutrition Service, WIC 2019 Eligibility and Coverage Rates report","https://www.fns.usda.gov/wic/2019-eligibility-coverage-rates#:~:text=More%20recently%2C%20between%202016%20and,and%2057%20percent%20in%202019",9/23/22,,
